ID,Corp,Name,Surname,Gender,DOB,Current_Position,Class,Department,Section,Appointment_Date,Commencement_Date,Confirmed_Appointment,Remarks,Hours_of_Leave_Utilised
00743292L,anderson,Jeffrey,Patterson,M,"Tuesday, March 24, 1981",Publishing rights manager,5,IT,Logic,"Monday, March 22, 2021","Tuesday, December 24, 2024",06/08/2022,Probation,36
01001676M,thomas23,Michael,Mccoy,M,"Wednesday, April 26, 2000",Illustrator,4,IT,Logic,"Tuesday, April 29, 2025","Monday, June 29, 2020",25/01/2022,Transferred,22
01226916L,jrice,Scott,Smith,M,"Tuesday, February 1, 1966",Colour technologist,5,Operations,Support,"Tuesday, October 17, 2023","Thursday, October 19, 2017",-,Probation,198
01489025M,brendago,Micheal,Sanders,M,"Monday, May 8, 1978",Camera operator,6,Finance,Admin,"Friday, September 12, 2025","Sunday, December 29, 2019",-,Transferred,46
01573993L,patrick1,Dawn,Ramsey,F,"Friday, February 6, 1998",Agricultural consultant,3,Operations,Support,"Thursday, April 10, 2025","Monday, July 22, 2024",09/09/2024,Transferred,9
02726149M,davidphe,Daniel,Summers,M,"Sunday, February 19, 1967","Engineer, aeronautical",4,Finance,Logic,"Tuesday, June 4, 2024","Friday, September 9, 2016",12/12/2021,Transferred,92
02787429M,ecosta,Hannah,Cook,F,"Thursday, February 11, 1999",Civil Service fast streamer,7,HR,Support,"Sunday, May 26, 2024","Tuesday, April 30, 2024",09/05/2023,Transferred,123
02895171M,jsmith,Jason,Pena,M,"Tuesday, August 10, 1993","Designer, fashion/clothing",3,IMU,Analysis,"Sunday, February 26, 2023","Sunday, August 29, 2021",12/04/2024,Not Applicable,77
03424420L,james80,Heather,Chavez,F,"Saturday, July 6, 1963",Warden/ranger,3,Operations,Admin,"Wednesday, September 3, 2025","Friday, July 8, 2022",03/12/2022,Probation,139
03447134L,ronaldst,Matthew,Kerr,M,"Friday, September 21, 1979",Curator,6,IMU,Logic,"Sunday, April 24, 2022","Thursday, February 18, 2021",28/09/2025,Probation,143
03712938L,ssmith,Gwendolyn,Martinez,F,"Wednesday, May 18, 1966","Pharmacist, hospital",7,HR,Analysis,"Saturday, July 3, 2021","Friday, October 18, 2019",28/02/2024,Not Applicable,185
04556110L,elizabet,Hunter,Kim,M,"Saturday, October 16, 1971",Wellsite geologist,5,Finance,Logic,"Friday, January 26, 2024","Friday, September 24, 2021",16/06/2022,Not Applicable,22
04653755M,aramirez,Darlene,Miller,F,"Friday, April 7, 1972",Advertising account executive,7,Operations,Logic,"Friday, November 17, 2023","Thursday, September 19, 2019",26/06/2021,Not Applicable,104
05444713M,terri75,Debra,Butler,F,"Tuesday, July 28, 1992",Chartered public finance accountant,7,HR,Analysis,"Monday, September 12, 2022","Sunday, October 30, 2022",-,Transferred,197
06038505L,usweeney,Elizabeth,Harris,F,"Wednesday, January 9, 1985",Field seismologist,5,IT,Analysis,"Sunday, May 30, 2021","Saturday, April 28, 2018",13/04/2023,Not Applicable,67
06071596L,amckinne,Donna,Sullivan,F,"Wednesday, December 3, 1986","Journalist, broadcasting",7,HR,Analysis,"Sunday, December 24, 2023","Friday, May 26, 2017",12/08/2024,Not Applicable,184
06665800L,james73,Thomas,Bush,M,"Sunday, February 13, 2005",Mental health nurse,6,Operations,Admin,"Tuesday, July 19, 2022","Thursday, November 26, 2020",19/09/2024,New Employee,99
06853615L,floresco,Michelle,Rogers,F,"Friday, January 7, 1994",Dancer,4,HR,Logic,"Friday, May 5, 2023","Saturday, December 9, 2023",30/01/2022,Transferred,126
07154516M,sandoval,Jennifer,Lopez,F,"Friday, May 2, 1997",Medical illustrator,6,Operations,Analysis,"Thursday, August 29, 2024","Tuesday, October 11, 2016",19/08/2022,Probation,159
07562636M,vsalas,Monica,Thornton,F,"Saturday, November 18, 1972","Scientist, physiological",5,HR,Support,"Friday, December 20, 2024","Sunday, November 3, 2024",-,Transferred,28
09104300L,ohunter,Micheal,Wang,M,"Friday, November 13, 1964",Pharmacologist,3,IT,Logic,"Thursday, June 19, 2025","Friday, January 17, 2025",14/03/2022,Probation,138
09859317L,debra12,Andrew,Johnson,M,"Thursday, December 26, 1991","Research officer, government",3,IMU,Logic,"Thursday, November 24, 2022","Friday, January 17, 2025",-,New Employee,63
10433218L,fjohnson,Daniel,Wagner,M,"Sunday, June 1, 2003",Aid worker,5,Operations,Admin,"Tuesday, July 15, 2025","Saturday, January 14, 2023",10/10/2022,Transferred,195
11586938M,acardena,Vincent,Mcdaniel,M,"Thursday, April 28, 2005",Public relations officer,7,Operations,Admin,"Friday, December 13, 2024","Saturday, December 26, 2020",28/07/2021,Transferred,68
12281606L,david94,Abigail,Owens,F,"Sunday, February 16, 2003","Designer, fashion/clothing",7,IMU,Admin,"Thursday, August 24, 2023","Friday, October 7, 2016",18/06/2023,Transferred,113
13348039L,lkelly,Casey,Watkins,F,"Tuesday, October 6, 1970",Mechanical engineer,4,Operations,Logic,"Wednesday, November 22, 2023","Wednesday, July 23, 2025",11/09/2025,New Employee,43
13552157L,jason15,Dawn,Rodriguez,F,"Wednesday, June 9, 1982",Accommodation manager,3,IMU,Analysis,"Saturday, August 17, 2024","Sunday, January 15, 2023",25/04/2022,Transferred,148
15542622L,bishopfr,Gregory,Lewis,M,"Monday, November 14, 1966","Designer, blown glass/stained glass",4,IT,Analysis,"Friday, September 30, 2022","Wednesday, May 17, 2017",-,Pending,54
15997062M,gmoore,Gary,Mccann,M,"Saturday, February 15, 1997",Outdoor activities/education manager,7,Operations,Support,"Tuesday, April 18, 2023","Wednesday, December 16, 2020",03/12/2022,Not Applicable,177
17445187L,james94,Nancy,Sanchez,F,"Monday, March 9, 1987","Merchandiser, retail",7,Operations,Analysis,"Monday, July 25, 2022","Friday, March 14, 2025",-,New Employee,144
17464887L,georgepa,Nicholas,Munoz,M,"Saturday, October 14, 1989",Agricultural engineer,3,IMU,Admin,"Friday, October 17, 2025","Friday, November 21, 2025",28/01/2021,Probation,189
17711592L,joshuasc,Joshua,Nguyen,M,"Monday, November 28, 1988","Therapist, speech and language",6,Operations,Support,"Friday, October 4, 2024","Tuesday, July 2, 2024",23/07/2024,Not Applicable,7
17785079L,eric19,Megan,Wilson,F,"Sunday, February 21, 1999",Sales executive,6,IMU,Logic,"Saturday, January 2, 2021","Thursday, January 23, 2020",-,Pending,62
18398262M,kevin72,Amy,Hamilton,F,"Wednesday, May 31, 2006","Pharmacist, community",7,Finance,Analysis,"Wednesday, July 21, 2021","Sunday, January 16, 2022",-,Probation,63
19655698M,mlam,Dawn,Fletcher,F,"Tuesday, July 3, 1962",Accommodation manager,5,Operations,Admin,"Sunday, December 31, 2023","Tuesday, March 28, 2023",-,Pending,24
19656523L,wrightca,Michelle,Mitchell,F,"Friday, June 6, 1969",Aid worker,3,Finance,Admin,"Monday, April 21, 2025","Saturday, July 27, 2024",-,New Employee,56
20037917L,jennifer,James,Hernandez,M,"Thursday, June 14, 1973","Accountant, chartered public finance",5,IMU,Analysis,"Wednesday, October 5, 2022","Thursday, November 22, 2018",-,Transferred,173
21020275M,gary24,Nicholas,Wilson,M,"Thursday, March 24, 2005",Air traffic controller,3,Finance,Analysis,"Monday, March 20, 2023","Thursday, October 24, 2024",11/06/2021,Probation,38
22885158L,icraig,Dustin,Boone,M,"Thursday, May 26, 1983","Administrator, Civil Service",7,Operations,Logic,"Thursday, February 11, 2021","Thursday, May 19, 2022",-,New Employee,150
22901476L,nperry,Paul,Wilson,M,"Tuesday, June 25, 1963",Planning and development surveyor,4,IMU,Support,"Tuesday, January 14, 2025","Tuesday, November 12, 2024",11/07/2023,Not Applicable,85
23226025L,vpham,Robert,Adams,M,"Tuesday, February 19, 2002",Clinical cytogeneticist,6,IT,Logic,"Tuesday, November 26, 2024","Sunday, September 8, 2019",07/08/2022,Transferred,138
24771093L,lancesmi,Jason,Walker,M,"Thursday, April 10, 1997",Clothing/textile technologist,7,IT,Logic,"Friday, March 18, 2022","Saturday, May 18, 2024",20/05/2023,Probation,158
25556258L,floresst,Debra,Wright,F,"Thursday, March 8, 2001",Chief Strategy Officer,4,IMU,Support,"Saturday, March 2, 2024","Friday, January 6, 2023",-,New Employee,70
25753260L,jessicaa,Nicholas,Lawrence,M,"Tuesday, May 30, 1989","Doctor, general practice",4,IMU,Support,"Sunday, March 21, 2021","Thursday, April 14, 2022",28/01/2023,Not Applicable,24
27048281L,meagan89,Christina,Brooks,F,"Tuesday, June 27, 1989","Designer, television/film set",3,Operations,Logic,"Tuesday, August 29, 2023","Tuesday, March 19, 2024",24/01/2021,Not Applicable,196
27706324L,clarence,Bradley,Beck,M,"Thursday, May 9, 1968",Diagnostic radiographer,5,IMU,Analysis,"Sunday, July 2, 2023","Tuesday, November 19, 2019",20/07/2024,Not Applicable,59
27858549L,susanram,Elizabeth,David,F,"Thursday, April 2, 1981",Human resources officer,3,Finance,Admin,"Wednesday, January 22, 2025","Sunday, April 18, 2021",24/12/2024,Probation,101
28439599L,joel28,Connie,Turner,F,"Saturday, September 28, 1963","Biochemist, clinical",5,Operations,Admin,"Sunday, July 14, 2024","Saturday, May 10, 2025",-,Transferred,16
29042284L,danielde,Carlos,Howard,M,"Monday, April 5, 1982",Field seismologist,3,Operations,Support,"Wednesday, January 13, 2021","Monday, November 12, 2018",27/02/2023,Not Applicable,189
29218515L,vwillis,Eric,Taylor,M,"Tuesday, May 23, 1961","Designer, industrial/product",6,IT,Analysis,"Monday, August 7, 2023","Monday, November 12, 2018",06/09/2025,Probation,168
